date, pm25, pm10, o3, no2
2024/1/2, 11, 5, , 1
2024/1/3, 9, 7, , 4
2024/1/4, 12, 7, , 9
2024/1/5, 18, 6, , 7
2024/1/6, 24, 6, , 7
2024/1/7, 26, 12, , 17
2024/1/8, 36, 17, , 16
2024/1/9, 52, 15, , 16
2024/1/10, 48, 17, , 23
2024/1/11, 44, 15, , 26
2024/1/12, 48, 11, , 6
2024/1/13, 31, 8, , 6
2024/1/14, 23, 4, , 6
2024/1/15, 9, 8, , 14
2024/1/16, 20, 7, , 2
2024/1/17, 19, 10, , 17
2024/1/18, 21, 11, , 4
2024/1/19, 25, 7, , 8
2024/1/20, 23, 14, , 3
2024/1/21, 50, 18, , 1
2024/1/22, 50, 24, , 4
2024/1/23, 56, 20, , 4
2024/1/24, 48, 13, , 13
2024/1/25, 32, 9, , 3
2024/1/26, 27, 23, , 3
2024/1/27, 55, 16, , 2
2024/1/28, 49, 20, , 7
2024/1/29, 57, 16, , 8
2024/1/30, 57, 12, , 5
2024/1/31, 36, 20, , 2
2024/2/1, 47, 16, , 5
2024/2/2, 42, 26, , 1
2024/2/3, 59, 19, , 1
2024/2/4, 45, 20, , 4
2024/2/5, 34, 11, , 6
2024/2/6, 18, 8, , 5
2024/2/7, 19, 5, , 8
2024/2/8, 14, 4, , 3
2024/2/9, 12, 5, , 1
2024/2/10, 20, 4, , 1
2024/2/11, 19, 6, , 8
2024/2/12, 22, 12, , 9
2024/2/13, 37, 10, , 6
2024/2/14, 35, 6, , 4
2024/2/15, 25, 6, , 5
2024/2/16, 24, 7, , 7
2024/2/17, 13, 4, , 2
2024/2/18, 12, 5, , 5
2024/2/19, 15, 11, , 6
2024/2/20, 34, 9, , 6
2024/2/21, 30, 4, , 3
2024/2/22, 14, 9, , 1
2024/2/23, 25, 9, , 3
2024/2/24, 30, 8, , 3
2024/2/25, 29, 9, , 7
2024/2/26, 22, 10, , 3
2024/2/27, 28, 16, , 2
2024/2/28, 52, 19, , 3
2024/2/29, 64, 24, , 3
2024/3/1, 74, 22, , 4
2024/3/2, 71, 25, , 2
2024/3/3, 77, 21, , 3
2024/3/4, 58, 20, , 4
2024/3/5, 47, 14, , 5
2024/3/6, 28, 28, , 11
2024/3/7, 43, 28, , 10
2024/3/8, 40, 9, , 2
2024/3/9, 19, 8, , 1
2024/3/10, 15, 20, , 3
2024/3/11, 31, 19, , 8
2024/3/12, 34, 24, , 4
2024/3/13, 74, 14, , 3
2024/3/14, 54, 19, , 4
2024/3/15, 65, 11, , 1
2024/3/16, 33, 4, , 1
2024/3/17, 6, 11, , 6
2024/3/18, 15, 12, , 2
2024/3/19, 30, 11, , 6
2024/3/20, 42, 13, , 6
2024/3/21, 38, 17, , 4
2024/3/22, 47, 16, , 1
2024/3/23, 44, 7, , 2
2024/3/24, 22, 6, , 4
2024/3/25, 8, 10, , 3
2024/3/26, 28, 13, , 2
2024/3/27, 35, 19, , 4
2024/3/28, 47, 11, , 2
2024/3/29, 37, 7, , 1
2024/3/30, 25, 8, , 1
2024/3/31, 13, , , 
2023/10/1, 16, 8, , 5
2023/10/2, 19, 6, , 4
2023/10/3, 9, 13, , 2
2023/10/4, 16, 7, , 5
2023/10/5, 18, 10, , 3
2023/10/6, 14, 5, , 5
2023/10/7, 13, 5, , 6
